1,RP11-34P13.7,O
2,FO538757.2,
3,AP006222.2,
4,RP4-669L17.10,
5,RP11-206L10.9,
6,LINC00115,
7,FAM41C,
8,RP11-54O7.1,
9,RP11-54O7.3,
10,SAMD11,
11,NOC2L,
12,KLHL17,
13,PLEKHN1,
14,PERM1,
15,RP11-54O7.17,
16,HES4,
17,ISG15,
18,RP11-54O7.11,
19,AGRN,
20,RNF223,
21,C1orf159,
22,RP11-465B22.8,
23,TTLL10-AS1,
24,TTLL10,
25,TNFRSF18,
26,TNFRSF4,
27,SDF4,
28,B3GALT6,
29,FAM132A,
30,RP5-902P8.12,
31,UBE2J2,
32,RP5-902P8.10,
33,SCNN1D,
34,ACAP3,
35,PUSL1,
36,CPSF3L,
37,CPTP,
38,TAS1R3,
39,DVL1,
40,MXRA8,
41,AURKAIP1,
42,CCNL2,
43,MRPL20,
44,RP4-758J18.13,
45,ANKRD65,
46,RP4-758J18.10,
47,VWA1,
48,ATAD3C,
49,ATAD3B,
50,ATAD3A,
51,TMEM240,
52,SSU72,
53,RP5-832C2.5,
54,C1orf233,
55,RP11-345P4.9,
56,MIB2,
57,MMP23B,
58,CDK11B,
59,SLC35E2B,
60,RP11-345P4.7,
61,CDK11A,
62,SLC35E2,
63,NADK,
64,GNB1,
65,RP1-140A9.1,
66,CALML6,
67,TMEM52,
68,CFAP74,
69,GABRD,
70,PRKCZ,
71,RP5-892K4.1,
72,RP11-181G12.2,
73,FAAP20,
74,SKI,
75,MORN1,
76,RER1,
77,PEX10,
78,PLCH2,
79,PANK4,
80,HES5,
81,RP3-395M20.12,
82,RP3-395M20.8,
83,TNFRSF14,
84,RP3-395M20.9,
85,FAM213B,
86,MMEL1,
87,TTC34,
88,LINC00982,
89,PRDM16,
90,ARHGEF16,
91,MEGF6,
92,RP11-46F15.2,
93,TPRG1L,
94,WRAP73,
95,TP73,
96,TP73-AS1,
97,SMIM1,
98,LRRC47,
99,RP1-286D6.5,
100,CEP104,
101,DFFB,
102,C1orf174,
103,LINC01134,
104,AJAP1,
105,NPHP4,
106,KCNAB2,
107,CHD5,
108,RPL22,
109,RP1-120G22.11,
110,RNF207,
111,ICMT,
112,LINC00337,
113,GPR153,
114,ACOT7,
115,RP1-202O8.3,
116,HES2,
117,ESPN,
118,TNFRSF25,
119,PLEKHG5,
120,NOL9,
121,TAS1R1,
122,ZBTB48,
123,KLHL21,
124,PHF13,
125,THAP3,
126,DNAJC11,
127,RP11-312B8.1,
128,CAMTA1,
129,VAMP3,
130,PER3,
131,RP3-467L1.4,
132,UTS2,
133,TNFRSF9,
134,PARK7,
135,ERRFI1,
